chunc_text,lemma_text
"кафедра «математическое моделирование» проф. п. л. иванков интегралы и дифференциальные уравнения конспект лекций для студентов 1-го курса 2-го семестра специальностей рл1,2,3,6, бмт1,2 лекция 24 однородные системы линейных дифференциальных уравнений с по- стоянными коэффициентами. характеристическое уравнение си- стемы. построение общего решения по корням характеристического уравнения (вывод только для случая действительных и различных корней). рассмотрим линейную однородную систему с постоянными коэффициентами n x y0 = a y , i = 1,...,n . (1) i ij j j=1 в матричной форме эта система запишется так: y0 = ay , (2) где   a a ... a   11 12 1n y 1 a a ... a  21 22 2n  y =  ...  , a =   . ··················   y n a a ... a n1 n2 nn характеристическим уравнением системы (1) (или (2)) называется уравнение   a −λ a ... a  11 12 1n    a a −λ ... a  21 22 2n    = 0 .  ···························     a a ... a −λ  n1 n2 nn если корни характеристического уравнения вещественны и различны, то нетрудно по- строить фундаментальную систему решений системы (1). в самом деле, обозначим эти корни λ ,...,λ и для каждого корня найдем отвечающий ему собственный вектор: 1 n     α α 11 1n e 1 =  ...  ,..., e n =  ...  . α α n1 nn заметим теперь, что вектор-функции y = eλixe , i = 1,...,n , i i 1 являются решениями системы (2): y0 = λ eλixe = eλixae = a(eλixe ) = ay , т.е. y0 = ay , i = 1,...,n . i i i i i i i i проверим, что y ,...,y линейно независимы; для этого составим определитель врон- 1 n ского:   α α ... α  11 12 1n    α α ... α w(x) = e(λ1+...+λn)x ·   21 22 2n   6= 0 ,  ··················     α α ... α  n1 n2 nn т.к. собственные векторы, отвечающие различным собственным значениям, линейно не- зависимы. мы видим, что решения y ,...,y действительно образуют фундаментальную 1 n систему решений системы (2). пример. пусть дана система ( y0 = y +3y , 1 1 2 y0 = 3y +y . 2 1 2 составляем характеристическое уравнение и находим его корни:    1−λ 3    = λ2 −2λ−8 = 0 , λ = −2 ,λ = 4 .  3 1−λ  1 2 собственные векторы, отвечающие найденным собственным значениям, определяем из систем: ( ( 3α +3α = 0 , −3α +3α = 0 , 11 21 12 22 3α +3α = 0 , 3α −3α = 0 . 11 21 12 22 в качестве собственных векторов можно взять     −1 1 e = , e = . 1 1 2 1 фундаментальную систему решений образуют вектор-функции     −1 1 y = e−2x · и y = e4x · . 1 1 2 1 общее решение имеет вид     −1 1 y = c e−2x · +c e4x · ; 1 1 2 1 в координатах y = −c e−2x +c e4x , y = c e−2x +c e4x . ",кафедра математический моделирование иванков интеграл дифференциальный уравнение конспект лекция студент курс семестр специальность лекция однородный система линейный дифференциальный уравнение стоянный коэффициент характеристический уравнение стем построение общий решение корень характеристический уравнение вывод случай действительный различный корень рассмотреть линейный однородный система постоянный коэффициент n x a y i n i ij j матричный форма этот система записаться ay a a a y a a a y a y n a a a nn характеристический уравнение система называться уравнение a a a a a a a a a nn корень характеристический уравнение вещественный различный нетрудно строить фундаментальный система решение система сам дело обозначить корень λ λ каждый корень найти отвечать собственный вектор n α α e e n α α nn заметить y eλixe i n i i являться решение система λ eλixe eλixae a eλixe ay ay i n i i i i i i i i проверить y y линейно независимый составить определитель n ский α α α α α α w x e x α α α nn собственный вектор отвечать различный собственный значение линейно зависимый видеть решение y y действительно образовать фундаментальный n система решение система пример пусть дать система y составлять характеристический уравнение находить корень λ λ собственный вектор отвечать найти собственный значение определять система качество собственный вектор взять e e фундаментальный система решение образовать y y общий решение иметь вид y c координата y y c
"1 1 2 2 1 2 т.к. коэффициенты характеристического уравнения системы (2) вещественны, то его комплексные корни распадаются на пары комплексно сопряженных. для каждой пары α±iβ, β 6= 0, можно построить два линейно независмых решения системы (2). найдем ненулевой комплексный вектор     α β 1 1 z =  ... +i  ...  , α β n n 2 для которого az = (α + iβ)z. как и в вещественном случае нетрудно проверить, что комплекснозначная функция          α β β α 1 1 1 1 e(α+iβ)xz = eαxcosβx...−eαxsinβx...+ieαxcosβx...+eαxsinβx... α β β α n n n n является решением системы (2). отсюда получаем два вещественных решения этой си- стемы:     α β 1 1 x = eαxcosβx  ... −eαxsinβx  ...  , α β n n     β α 1 1 y = eαxcosβx  ... +eαxsinβx  ...  . β α n n на доказательстве линейной независимости решений x и y не останавливаемся. задача (для желающих). доказать, что решения x и y линейно независимы. пример. пусть требуется найти общее решение системы ( y0 = y −3y , 1 1 2 y0 = 3y +y . 2 1 2 составляем и решаем характеристическое уравнение:    1−λ −3    = (1−λ)2 +9 = 0 , λ = 1±3i .  3 1−λ  1,2 ”комплексный собственный вектор”   z z = 1 z 2 находим из системы:      −3i −3 z 0 1 = ; 3 −3i z 0 2 ( −3iz −3z = 0 , 1 2 3z −3iz = 0 . 1 2 отсюда видно, что в качестве компонент z можно взять z = 1, z = −i. комплексно- 1 2 значное решение системы есть       1 0 cos3x+isin3x e(1+3i)x +i = ex . 0 −1 sin3x−icos3x отделяя вещественную и мнимую части, получаем фундаментальную систему решений исходной системы:     cos3x sin3x y = ex и y = ex . 1 sin3x 2 −cos3x отсюда находим общее решение:     cos3x sin3x y = c ex +c ex , 1 sin3x 2 −cos3x 3 или в координатах y = ex(c cos3x+c sin3x) , 1 1 2 y = ex(c sin3x−c cos3x) . 2 1 2 если среди корней характеристического уравнения имеются кратные, то следует для ка- ждого вещественного корня λ кратности r найти размерность m соответствующего про- странства собственных векторов. если m = r, то, взяв базис e ,...,e этого простран- 1 r ства, получим для λ в точности r линейно независимых решений системы (2): y = eλxe , i = 1,...,r . i i если m < r, то найти r линейно независимых решений для λ можно методом неопределен- ных коэффициентов. при этом решения следует искать в виде y = (c +c x+...+c xr−m)eλx , (3) 0 1 r−m где     c c 10 1,r−m c 0 =  ...  ,... , c r−m =  ......  c c n0 n,r−m –столбцы,компонентыкоторыхподлежатопределению. дляэтогоy подставляютвисход- ную систему, сокращают обе части на eλx и приравнивают коэффициенты при одинаковых ",коэффициент характеристический уравнение система вещественный комплексный корень распадаться пара комплексно сопрячь каждый пара β построить линейно независмый решение система найти ненулевой комплексный вектор α β z α β n n который az α iβ вещественный случай нетрудно проверить комплекснозначный функция α β β α e xz α β β α n n n n являться решение система отсюда получать вещественный решение стем α β x eαxcosβx α β n n β α y eαxcosβx β α n n доказательство линейный независимость решение x y останавливаться задача желать доказать решение x y линейно независимый пример пусть требоваться найти общий решение система y составлять решать характеристический уравнение λ комплексный собственный вектор z z z находить система z z отсюда видно качество компонент z взять z z значный решение система e x ex отделять вещественный мнимый часть получать фундаментальный система решение исходный система y ex y ex отсюда находить общий решение y c ex ex координата y ex c y ex c среди корень характеристический уравнение иметься кратное следовать ждый вещественный корень λ кратность r найти размерность m соответствующий странство собственный вектор m r взять базис e e r ство получить λ точность r линейно независимый решение система y eλxe i r i i m r найти r линейно независимый решение λ метод ных коэффициент решение следовать искать вид y c eλx c c c c c c n столбцы компонентыкоторыхподлежатопределение дляэтогоy ную система сокращать оба часть eλx приравнивать коэффициент одинаковый
"степенях x слева и справа. в результате получается система линейных однородных алге- браических уравнений, которой удовлетворяют компоненты столбцов c ,...,c . решая 0 r−m эту систему, можно получить r линейно независимых решений исходной системы диффе- ренциальных уравнений. как известно, комплексные корни (не являющиеся вещественными) уравнения с веще- ственными коэффициентами распадаются на пары комплексно сопряженных корней одной и той же кратности. если α±iβ, β 6= 0, – одна из таких пар кратности r, то описанную выше процедуру следует применить в комплексном случае для одного из корней α + iβ, а затем отделить в полученных комплекснозначных решениях вещественную и мнимую части. проделаввсеэтодлякаждогокорняхарактеристическогоуравнения, получимфун- даментальную систему решений для исходной системы дифференциальных уравнений. пример. пусть требуется найти фундаментальную систему решений системы урав- нений  y0 = y +2y +y ,   1 1 2 3 y0 = −y +4y +y , 2 1 2 3   y0 = −y +2y +3y . 3 1 2 3 составим и решим характеристическое уравнение:        1−λ 2 1   2−λ λ−2 0   1 −1 0        0 =  −1 4−λ 1  =  −1 4−λ 1  = (2−λ)· −1 4−λ 1  =        −1 2 3−λ   −1 2 3−λ   −1 2 3−λ     1 0 0      = (2−λ)· −1 3−λ 1  = (2−λ) (3−λ)2−1 = (2−λ)2(4−λ); λ = λ = 2, λ = 4. 1 2 3    1 1 3−λ  для собственного значения λ = λ = 2 матрица однородной системы, которой удовлетво- 1 2 ряют компоненты собственных векторов, имеет вид   −1 2 1  −1 2 1  . −1 2 1 4 здесь без труда находим два линейно независимых собственных вектора, отвечающих этому собственному значению:     2 1 e 1 =  1  и e 2 =  0  ; 0 1 этим собственным векторам отвечают два линейно независимых решения рассматривае- мой системы:     2 1 y 1 = e2x  1  и y 2 = e2x  0  . 0 1 для собственного значения λ = 4 соответствующую матрицу однородной системы приве- 3 дем к ступенчатому виду:       −3 2 1 −1 0 1 −1 0 1  −1 0 1  ∼  0 2 −2  ∼  0 1 −1  . −1 2 −1 0 2 −2 0 0 0 в качестве собственного вектора можно взять   1 e 3 =  1  ; 1 этому вектору соответствует такое решение исходной системы   1 y 3 = e4x  1  . 1 требуемая фундаментальная система решений найдена:       2 1 1 y 1 = e2x  1  , y 2 = e2x  0  , y 3 = e4x  1  . 0 1 1 пример 2. найдем фундаментальную систему решений для системы дифференциаль- ных уравнений ( y0 = y +y , 1 1 2 y0 = −y +3y . 2 1 2 составляем и решаем характеристическое уравнение:    1−λ 1  0 =   = (λ−2)2 , λ = λ = 2 . ",степень x слева справа результат получаться система линейный однородный браический уравнение который удовлетворять компонент столбцы c c решать система получить r линейно независимый решение исходный система ренциальный уравнение известно комплексный корень являться вещественный уравнение ственный коэффициент распадаться пара комплексно сопрячь корень один тот кратность β один такой пара кратность r описать выше процедура следовать применить комплексный случай один корень α iβ затем отделить получить комплекснозначный решение вещественный мнимый часть проделаввсеэтодлякаждогокорняхарактеристическогоуравнение даментальный система решение исходный система дифференциальный уравнение пример пусть требоваться найти фундаментальный система решение система нения y составить решить характеристический уравнение λ λ λ собственный значение λ λ матрица однородный система который рять компонент собственный вектор иметь вид труд находить линейно независимый собственный вектор отвечать этот собственный значение e e это собственный вектор отвечать линейно независимый решение система y y собственный значение λ соответствовать матрица однородный система дем ступенчатый вид качество собственный вектор взять e этот вектор соответствовать такой решение исходный система y требовать фундаментальный система решение найти y y y пример найти фундаментальный система решение система ных уравнение y составлять решать характеристический уравнение λ λ
" −1 3−λ  1 2 для определения компонент собственных векторов имеем однородную систему линейных алгебраических уравнений с матрицей   −1 1 . −1 1 здесь пространство собственных векторов имеет размерность m = 1, т.е. меньше кратно- сти r = 2 соответствующего собственного значения. поэтому решение исходной системы ищем в виде y = (c +c x)e2x , 0 1 5     c c где c = 10 , c = 11 . 0 c 1 c 20 21 находим производную y0 = (c +2c +2c x)e2x 1 0 1 и подставляем в исходную систему; после сокращения на e2x получаем c +2c +2c x = a(c +c x) , 1 0 1 0 1 или ( c +2c = ac , 1 0 0 2c = ac , 1 1   1 1 где a = . −1 3 отсюда такая система для определения компонент векторов c и c : 0 1  c +2c = c +c ,  11 10 10 20    c +2c = −c +3c , 21 20 10 20 2c = c +c ,   11 11 21   2c = −c +3c . 21 11 21 упорядочив неизвестные, получим  c −c +c = 0 ,  10 20 11    c −c +c = 0 , 10 20 21 c −c = 0 ,   11 21   c −c = 0 . 11 21 матрицу этой системы приведем к ступенчатому виду:   i iii ii iv     1 −1 1 0 1 −1 1 0  1 1 −1 0   1 −1 0 1   0 0 −1 1      ∼   ∼  0 −1 0 1  .  0 0 1 −1   0 0 0 0     0 0 0 0  0 0 1 −1 0 0 0 0 0 0 0 0 неизвестные c и c – базисные, c и c – свободные. фундаментальную систему реше- 10 11 20 21 ний образуют решения     1 −1   1   и   0   ,  0   1  0 1 т.е.     1 0 c(1) = , c(1) = ; 0 1 1 0     −1 1 c(2) = , c(2) = . 0 0 1 1 отсюда такая фундаментальная система решений исходной системы дифференциальных уравнений:       1 −1 1 y = e2x , y = +x e2x . 1 1 2 0 1 6 ",определение компонент собственный вектор иметь однородный система линейный алгебраический уравнение матрица пространство собственный вектор иметь размерность m маленький сти r соответствующий собственный значение поэтому решение исходный система искать вид y c x c c c c c c находить производный c x подставлять исходный система сокращение получать c x a c x c ac ac a отсюда такой система определение компонент вектор c c c c c c упорядочить неизвестный получить c c c c матрица система привести ступенчатый вид i iii ii iv неизвестный c c базисный c c свободный фундаментальный система ний образовать решение c c c c отсюда такой фундаментальный система решение исходный система дифференциальный уравнение y y
"кафедра «математическое моделирование» проф. п. л. иванков интегралы и дифференциальные уравнения конспект лекций для студентов 1-го курса 2-го семестра специальностей рл1,2,3,6, бмт1,2 лекция 16 геометрическая интерпретация дифференциального уравнения пер- вого порядка. изоклины. геометрическое решение дифференциаль- ных уравнений с помощью изоклин. особые точки и особые решения дифференциального уравнения первого порядка. рассмотримдифференциальноеуравнениепервогопорядка, разрешенноеотносительно производной y0 = f(x,y) , (1) где правая часть определена на области g плоскости переменных x,y. такое дифференци- альное уравнение устанавливает связь между координатами точки m(x,y) ∈ g и угловым коэффициентом касательной y0(x) к интегральной кривой y = y(x), проходящей через эту точку: tgα = y0(x) = f(x,y) . y m α g o x рис.6 касательным вектором к этой кривой в указанной точке является вектор     1,y0(x) = 1,f(x,y) . если каждой точке m(x,y) ∈ g поставить в соответствие такой вектор, то мы получим в области g поле направлений. интегральные кривые – это те кривые, для которых вектор  1,f(x,y)  является касательным в соответствующей точке. поэтому, если в области g выбрать достаточно густую сеть точек и в каждой точке m(x,y) нарисовать исходящий из этой точки вектор с координатами  1,f(x,y)  , то можно приближенно изобразить инте- гральные кривые уравнения (1), проводя эти кривые так, чтобы они в каждой своей точке касались векторов построенного поля направлений. построение поля направлений облег- чается использованием изоклин. изоклиной дифференциального уравнения (1) называется множество точек плоскости, в каждой из которых угловой коэффициент касательной к ин- тегральным кривым этого уравнения имеет постоянное значение. очевидно, уравнение изоклины имеет вид f(x,y) = k , 1 где k – упомянутое в определении изоклины постоянное значение углового коэффициента касательной. таким образом, изоклины являются линиями уровня функции f(x,y) из правой части уравнения (1). пример. пусть дано уравнение y0 = x2 −y2 . областью определения правой части является вся плоскость переменных x,y. уравнения изоклин имеют вид x2 −y2 = k . при k = 0 имеем пару вещественных пересекающихся прямых (биссектрис координат- ных углов). при построении поля направлений (чтобы не загромождать чертеж) будем рисовать не векторы, а короткие отрезки прямых, проходящих через точки построенных изоклин и имеющих соответствующие угловые коэффициенты. при k 6= 0 изоклинами являются гиперболы. рис.7 пусть снова имеется дифференциальное уравнение y0 = f(x,y) , (1) правая часть которого определена на области g плоскости переменных x,y. если для точки m(x ,y ) ∈ g найдутся две интегральные кривые, проходящие через эту точку и не 0 0 совпадающие ни в какой ее окрестности, или через эту точку не проходит ни одна инте- гральная кривая, то m называется особой точкой данного дифференциального уравнения. точка, не являющаяся особой, называется обыкновенной. в частности, обыкновенными являются все точки, имеющие окрестность, в которой выполняются требования теоремы существования и единственности. решение уравнения (1) называется особым, если все точки соответствующей интегральной кривой суть особые точки этого дифференциаль- ного уравнения. пример. рассмотрим уравнение y0 = 3y 2 . 3 2 здесь правая часть определена на всей плоскости переменных x,y; условия теоремы су- ществования и единственности нарушены в точках оси ox, т.к. при y = 0 функция f(x,y) = 3y2/3 не имеет частной производной по переменной y. т.к. данное уравнение является уравнением с разделяющимися переменными, то в каждой из областей y > 0 или ",кафедра математический моделирование иванков интеграл дифференциальный уравнение конспект лекция студент курс семестр специальность лекция геометрический интерпретация дифференциальный уравнение вый порядок изоклина геометрический решение ных уравнение помощь изоклина особый точка особый решение дифференциальный уравнение первый порядок рассмотримдифференциальноеуравнениепервогопорядка разрешенноеотносительный производный f x y правый часть определить область g плоскость переменный x y такой альной уравнение устанавливать связь координата точка m x y g угловой коэффициент касательная x интегральный кривая y y x проходить точка tgα x f x y y m α g o x касательный вектор кривая указанный точка являться вектор x f x y каждый точка m x y g поставить соответствие вектор получить область g поле направление интегральный кривая это тот кривая который вектор f x y являться касательный соответствовать точка поэтому область g выбрать достаточно густой сеть точка каждый точка m x y нарисовать исходящий точка вектор координата f x y приближённо изобразить гральный кривая уравнение проводить кривая каждый свой точка касаться вектор построить поле направление построение поле направление чаться использование изоклина изоклина дифференциальный уравнение называться множество точка плоскость каждый который угловой коэффициент касательная тегральный кривой уравнение иметь постоянный значение очевидный уравнение изоклина иметь вид f x y k k упомянуть определение изоклина постоянный значение угловой коэффициент касательная такой образ изоклина являться линия уровень функция f x y правый часть уравнение пример пусть дать уравнение область определение правый часть являться весь плоскость переменный x y уравнение изоклина иметь вид k k иметь пара вещественный пересекаться прямой биссектриса ных угол построение поле направление загромождать чертёж быть рисовать вектор короткий отрезок прямой проходить точка построить изоклина иметь соответствующий угловой коэффициент k изоклина являться гипербола пусть снова иметься дифференциальный уравнение f x y правый часть который определить область g плоскость переменный x y точка m x y g найтись два интегральный кривая проходить точка совпадать окрестность точка проходить один гральный кривая m называться особый точка данный дифференциальный уравнение точка являться особый называться обыкновенный частность обыкновенный являться точка иметь окрестность который выполняться требование теорема существование единственность решение уравнение называться особый точка соответствовать интегральный кривая быть особый точка ный уравнение пример рассмотреть уравнение правый часть определить весь плоскость переменный x y условие теорема ществование единственность нарушить точка ось ox y функция f x y иметь частный производный переменный данный уравнение являться уравнение разделяться переменный каждый область y
"y < 0 можно без труда найти общее решение y = (x+c)3. ясно, что при любом фиксированном значении c эта формула дает решение рассматри- ваемого уравнения, заданное при всех значениях x. с другой стороны y ≡ 0 также есть решение этого уравнения. последнее решение является особым, т.к. через каждую точку соответствующейинтегральнойкривой(вданномслучаеосиабсцисс)проходитнеменьше двух интегральных кривых этого уравнения. если точка m(x ,y ) лежит на интегральной кривой, отвечающей особому решению 0 0 y = y(x), то через эту точку проходит и другая интегральная кривая y = y (x) данного 1 дифференциального уравнения. т.к. y0(x ) = y0(x ) = f(x ,y ), то эти кривые имеют 1 0 0 0 0 общую касательную в точке m. это простое замечание позволяет использовать для на- хождения особых решений понятие огибающей из теории кривых. пусть имеется семейство плоских кривых φ(x,y,c) = 0 , (2) зависящих от параметра c. при каждом фиксированном c уравнение (2) задает неявно соответствующую кривую этого семейства. кривая γ называется огибающей семейства (2), если в каждой своей точке γ каса- ется некоторой кривой этого семейства, не совпадая с ней ни в какой окрестности ука- занной точки. если (2) задает семейство решений дифференциального уравнения (1), то огибающая этого семейства также будет решением (очевидно, особым) этого урав- нения если только эта огибающая может быть задана уравнением y = y(x)  . дей- ствительно, если y = y(x) – уравнение огибающей и x – произвольная точка из обла- 0 сти определения функции y(x), то для некоторого решения y = y (x) данного уравнения 1 y(x ) = y (x ) и y0(x ) = y0(x ). поэтому из равенства y0(x ) = f  x ,y (x )  следует, что 0 1 0 0 1 0 1 0 0 1 0 y0(x ) = f  x ,y(x )  . т.к. x – произвольная точка из области определения функции y(x), 0 0 0 0 то y(x) – решение уравнения (1). чтобы составить уравнение огибающей, можно рассуждать следующим образом. если γ касается кривых семейства (2), отвечающих изменению параметра c на интервале c < c < c , то на этом интервале γ можно задавать параметрически уравнениями 1 2 x = φ(c) , y = ψ(c) . в таком случае должно выполняться равенство   φ φ(c),ψ(c),c = 0 , т.к. в точке  φ(c),ψ(c)  кривая γ и кривая семейства (2), отвечающая данному зна- чению параметра c, имеют общую точку. чтобы записать условие наличия общей ка- сательной, найдем соответствующие угловые коэффициенты. для γ угловой коэффици- ент касательной в точке кривой, отвечающей значению c параметра, равен ψ0(c)  φ0(c). предположим, что функция φ(x,y,c) имеет непрерывные частные производные по всем переменным, и (φ0)2 +(φ0)2 > 0 . x y 3 пусть, для определенности, в окрестности точки (x,y) кривой φ(x,y,c) = 0 отлична от нуля производная φ0. из теоремы о неявной функции, рассматриваемой в теории функ- y ций нескольких переменных, следует, что тогда угловой коэффициент касательной к этой кривой в указанной точке есть φ0(x,y,c) − x . φ0(x,y,c) y поэтому условие наличия общей касательной запишется в виде   ψ0(c) φ0 φ(c),ψ(c),c = − x .   φ0(c) φ0 φ(c),ψ(c),c y ",y труд найти общий решение y ясно любой фиксировать значение c этот формула давать решение вать уравнение задать значение сторона y также решение уравнение последний решение являться особый каждый точка соответствующейинтегральнойкривый вданномслучаеосиабсцисса проходитнеменьша два интегральный кривая уравнение точка m x y лежать интегральный кривая отвечать особый решение y y x точка проходить другой интегральный кривая y y x данный дифференциальный уравнение x x f x y кривая иметь общий касательный точка это простой замечание позволять использовать хождение особый решение понятие огибать теория кривая пусть иметься семейство плоский кривая φ x y c зависеть параметр каждый фиксировать c уравнение задавать неявно соответствовать кривая семейство кривая γ называться огибать семейство каждый свой точка γ ться некоторый кривая семейство совпадать окрестность занной точка задавать семейство решение дифференциальный уравнение огибать семейство также решение очевидный особый нения этот огибать задать уравнение y y x ствительный y y x уравнение огибать x произвольный точка сти определение функция y x некоторый решение y y x данный уравнение y x y x x x поэтому равенство x f x y x следовать x f x y x x произвольный точка область определение функция y x y x решение уравнение составить уравнение огибать рассуждать следующий образ γ касаться кривая семейство отвечать изменение параметр c интервал c c c интервал γ задавать параметрически уравнение x φ c y ψ c такой случай должный выполняться равенство φ φ c ψ c c точка φ c ψ c кривая γ кривая семейство отвечать дать чение параметр c иметь общий точка записать условие наличие общий сательный найти соответствующий угловой коэффициент γ угловой ента касательная точка кривая отвечать значение c параметр равный c c предположим функция φ x y c иметь непрерывный частный производный весь переменный x y пусть определённость окрестность точка x y кривая φ x y c отличный нуль производный теорема неявный функция рассматривать теория y ций несколько переменный следовать угловой коэффициент касательная кривая указанный точка x y c x x y c y поэтому условие наличие общий касательная записаться вид c φ c ψ c c x c φ c ψ c c y
"отсюда φ0 ·φ0(c)+φ0 ·ψ0(c) = 0 . x y таким образом, для функций φ(c) и ψ(c) выполняются равенства   φ φ(c),ψ(c),c = 0 , (3) φ0 ·φ0(c)+φ0 ·ψ0(c) = 0 , x y гдезначениячастныхпроизводныхфункцииφвычисляютсявточке φ(c),ψ(c),c  . про- дифференцируем по c первое из этих равенств: φ0 ·φ0(c)+φ0 ·ψ0(c)+φ0 = 0 . x y c с учетом (3) получаем отсюда такие необходимые условия того, чтобы кривая γ была огибающей семейства φ(x,y,c) = 0 :   ) φ φ(c),ψ(c),c = 0 (4)   φ0 φ(c),ψ(c),c = 0 c из этой системы можно, в принципе, найти φ(c) и ψ(c). если переписать последние равенства в виде ) φ(x,y,c) = 0 , (5) φ (x,y,c) = 0 c то, исключив c, можно получить неявное уравнение кривой γ. заметим, что условия (4) или (5) лишь необходимы для того, чтобы определяемая ими кривая была огибающей, достаточными эти условия не являются. поэтому, найдя параметрические уравнения кри- вой из (4) или неявное уравнение из (5), следует проверить, действительно ли найденная кривая является огибающей. пример. рассмотрим дифференциальное уравнение y0 = 3(y −sinx)2/3 +cosx . (6) непосредственной проверкой нетрудно убедиться, что при любом c функция y = (x+c)3 +sinx (7) естьрешениеэтогоуравнения. здесьсемействоинтегральныхкривыхзадаетсяспомощью функции φ(x,y,c) = y −(x+c)3 −sinx . 4 для нахождения уравнения огибающей имеем систему ) φ(x,y,c) = y −(x+c)3 −sinx = 0 . φ0 (x,y,c) = −3(x+c)2 = 0 c отсюда x + c = 0, и y = sinx. надо еще проверить, что последнее равенство задает огибающую. легко видеть, что при x = x кривые y = sinx и y = (x−x )3 +sinx имеют 0 0 общую касательную в точке с абсциссой x = x . поэтому y = sinx – огибающая семейства 0 кривых (7) и, следовательно, особое решение уравнения (6). 5 ",отсюда c c x y такой образ функция φ c ψ c выполняться равенство φ φ c ψ c c c c x y гдезначениячастныхпроизводныхфункцииφвычисляютсявточка φ c ψ c c дифференцировать c первый этот равенство c c x y c учёт получать отсюда такой необходимый условие кривая γ огибать семейство φ x y c φ φ c ψ c c φ c ψ c c c система принцип найти φ c ψ c переписать последний равенство вид φ x y c φ x y c c исключить c получить неявный уравнение кривая заметить условие лишь необходимый определять они кривая огибать достаточный условие являться поэтому найти параметрический уравнение вой неявный уравнение следовать проверить действительно найти кривая являться огибать пример рассмотреть дифференциальный уравнение y непосредственный проверка нетрудно убедиться любой c функция y естьрешениеэтогоуравнение здесьсемействоинтегральныхкривыхзадаетсяспомощь функция φ x y c y нахождение уравнение огибать иметь система φ x y c y x y c c отсюда x c y sinx проверить последний равенство задавать огибать легко видеть x x кривая y sinx y иметь общий касательный точка абсцисса x x поэтому y sinx огибать семейство кривая следовательно особый решение уравнение
